CHR	START1	START2	END	SCORE	STRAND
chr1	149920000	149920001	chr1:149935000-149935001,3.20057082176208	3.20057082176208	.
chr1	149880000	149880001	chr1:149940000-149940001,3.31367516517639	3.31367516517639	.
chr1	149925000	149925001	chr1:149940000-149940001,4.40127038955688	4.40127038955688	.
chr1	149810000	149810001	chr1:149950000-149950001,6.63810729980469	6.63810729980469	.
chr1	149930000	149930001	chr1:149950000-149950001,3.57346892356873	3.57346892356873	.
chr1	149935000	149935001	chr1:149950000-149950001,3.45008420944214	3.45008420944214	.
chr1	149910000	149910001	chr1:149955000-149955001,3.95041728019714	3.95041728019714	.
chr1	149940000	149940001	chr1:149955000-149955001,3.37028861045837	3.37028861045837	.
chr1	149875000	149875001	chr1:149960000-149960001,3.69362568855286	3.69362568855286	.
chr1	149945000	149945001	chr1:149960000-149960001,3.59531283378601	3.59531283378601	.
chr1	149890000	149890001	chr1:149965000-149965001,4.63595724105835	4.63595724105835	.
chr1	149950000	149950001	chr1:149965000-149965001,3.20728206634521	3.20728206634521	.
chr1	149930000	149930001	chr1:149970000-149970001,4.26104068756104	4.26104068756104	.
chr1	149940000	149940001	chr1:149970000-149970001,4.30776262283325	4.30776262283325	.
chr1	149950000	149950001	chr1:149970000-149970001,5.16546106338501	5.16546106338501	.
chr1	149875000	149875001	chr1:149975000-149975001,6.37981557846069	6.37981557846069	.
chr1	149960000	149960001	chr1:149975000-149975001,3.43575239181519	3.43575239181519	.
chr1	149950000	149950001	chr1:149980000-149980001,3.2626805305481	3.2626805305481	.
chr1	149955000	149955001	chr1:149980000-149980001,3.04379606246948	3.04379606246948	.
chr1	149965000	149965001	chr1:149980000-149980001,4.83123636245728	4.83123636245728	.
chr1	149810000	149810001	chr1:149985000-149985001,5.39732599258423	5.39732599258423	.
chr1	149905000	149905001	chr1:149985000-149985001,3.00185084342957	3.00185084342957	.
chr1	149910000	149910001	chr1:149985000-149985001,3.44299459457397	3.44299459457397	.
chr1	149970000	149970001	chr1:149990000-149990001,3.335613489151	3.335613489151	.
chr1	149975000	149975001	chr1:149990000-149990001,4.91120624542236	4.91120624542236	.
chr1	149955000	149955001	chr1:149995000-149995001,3.31287312507629	3.31287312507629	.
chr1	149815000	149815001	chr1:150000000-150000001,31.6859073638916	31.6859073638916	.
chr1	149970000	149970001	chr1:150000000-150000001,3.98254942893982	3.98254942893982	.
chr1	149930000	149930001	chr1:150005000-150005001,4.26008892059326	4.26008892059326	.
chr1	149960000	149960001	chr1:150005000-150005001,3.49948120117188	3.49948120117188	.
chr1	149990000	149990001	chr1:150005000-150005001,5.00230264663696	5.00230264663696	.
chr1	149990000	149990001	chr1:150010000-150010001,4.0930027961731	4.0930027961731	.
chr1	149995000	149995001	chr1:150010000-150010001,7.27417612075806	7.27417612075806	.
chr1	149555000	149555001	chr1:150015000-150015001,3.20065855979919	3.20065855979919	.
chr1	149970000	149970001	chr1:150015000-150015001,4.18278360366821	4.18278360366821	.
chr1	149990000	149990001	chr1:150015000-150015001,4.53039789199829	4.53039789199829	.
chr1	149980000	149980001	chr1:150020000-150020001,4.73297882080078	4.73297882080078	.
chr1	149990000	149990001	chr1:150020000-150020001,4.05798149108887	4.05798149108887	.
chr1	150000000	150000001	chr1:150020000-150020001,4.84501934051514	4.84501934051514	.
chr1	150005000	150005001	chr1:150020000-150020001,9.36444664001465	9.36444664001465	.
chr1	149555000	149555001	chr1:150025000-150025001,3.53676509857178	3.53676509857178	.
chr1	149960000	149960001	chr1:150025000-150025001,5.25325107574463	5.25325107574463	.
chr1	149975000	149975001	chr1:150025000-150025001,4.53683948516846	4.53683948516846	.
chr1	150005000	150005001	chr1:150025000-150025001,6.93148851394653	6.93148851394653	.
chr1	150010000	150010001	chr1:150025000-150025001,6.52223443984985	6.52223443984985	.
chr1	149970000	149970001	chr1:150030000-150030001,4.34067535400391	4.34067535400391	.
chr1	150000000	150000001	chr1:150030000-150030001,5.61324167251587	5.61324167251587	.
chr1	149910000	149910001	chr1:150035000-150035001,6.18339252471924	6.18339252471924	.
chr1	149990000	149990001	chr1:150035000-150035001,6.12725782394409	6.12725782394409	.
chr1	150020000	150020001	chr1:150035000-150035001,4.58815717697144	4.58815717697144	.
chr1	149945000	149945001	chr1:150040000-150040001,3.68418407440186	3.68418407440186	.
chr1	149965000	149965001	chr1:150040000-150040001,4.45413494110107	4.45413494110107	.
chr1	149985000	149985001	chr1:150040000-150040001,4.89152240753174	4.89152240753174	.
chr1	150015000	150015001	chr1:150040000-150040001,4.87153625488281	4.87153625488281	.
chr1	150020000	150020001	chr1:150040000-150040001,4.36354732513428	4.36354732513428	.
chr1	149810000	149810001	chr1:150045000-150045001,4.68125295639038	4.68125295639038	.
chr1	149850000	149850001	chr1:150045000-150045001,3.66160559654236	3.66160559654236	.
chr1	149910000	149910001	chr1:150045000-150045001,5.97241258621216	5.97241258621216	.
chr1	149950000	149950001	chr1:150045000-150045001,3.05492997169495	3.05492997169495	.
chr1	149960000	149960001	chr1:150045000-150045001,4.14021444320679	4.14021444320679	.
chr1	150015000	150015001	chr1:150045000-150045001,4.94751977920532	4.94751977920532	.
chr1	150020000	150020001	chr1:150045000-150045001,6.64741134643555	6.64741134643555	.
chr1	149940000	149940001	chr1:150050000-150050001,5.76905059814453	5.76905059814453	.
chr1	149950000	149950001	chr1:150050000-150050001,3.45884943008423	3.45884943008423	.
chr1	150025000	150025001	chr1:150050000-150050001,3.09495830535889	3.09495830535889	.
chr1	150035000	150035001	chr1:150050000-150050001,5.05075740814209	5.05075740814209	.
chr1	149810000	149810001	chr1:150055000-150055001,4.63466262817383	4.63466262817383	.
chr1	149970000	149970001	chr1:150055000-150055001,3.60647511482239	3.60647511482239	.
chr1	150005000	150005001	chr1:150055000-150055001,3.60566973686218	3.60566973686218	.
chr1	149940000	149940001	chr1:150060000-150060001,4.55977153778076	4.55977153778076	.
chr1	149975000	149975001	chr1:150060000-150060001,3.19975900650024	3.19975900650024	.
chr1	150015000	150015001	chr1:150060000-150060001,4.42748117446899	4.42748117446899	.
chr1	150045000	150045001	chr1:150060000-150060001,5.78375005722046	5.78375005722046	.
chr1	150050000	150050001	chr1:150065000-150065001,3.90700244903564	3.90700244903564	.
chr1	149950000	149950001	chr1:150070000-150070001,3.0846540927887	3.0846540927887	.
chr1	149930000	149930001	chr1:150080000-150080001,3.23181009292603	3.23181009292603	.
chr1	149995000	149995001	chr1:150080000-150080001,6.42317295074463	6.42317295074463	.
chr1	150050000	150050001	chr1:150080000-150080001,3.12814927101135	3.12814927101135	.
chr1	150065000	150065001	chr1:150080000-150080001,4.42538738250732	4.42538738250732	.
chr1	149975000	149975001	chr1:150085000-150085001,4.35326814651489	4.35326814651489	.
chr1	150040000	150040001	chr1:150085000-150085001,5.16529130935669	5.16529130935669	.
chr1	150060000	150060001	chr1:150085000-150085001,4.69445943832397	4.69445943832397	.
chr1	150065000	150065001	chr1:150085000-150085001,4.20127010345459	4.20127010345459	.
chr1	150070000	150070001	chr1:150085000-150085001,5.29689788818359	5.29689788818359	.
chr1	149980000	149980001	chr1:150090000-150090001,5.35225343704224	5.35225343704224	.
chr1	150065000	150065001	chr1:150095000-150095001,3.17898893356323	3.17898893356323	.
chr1	150075000	150075001	chr1:150095000-150095001,7.78690004348755	7.78690004348755	.
chr1	150080000	150080001	chr1:150095000-150095001,3.05431652069092	3.05431652069092	.
chr1	149930000	149930001	chr1:150100000-150100001,3.12224721908569	3.12224721908569	.
chr1	150005000	150005001	chr1:150100000-150100001,4.51221084594727	4.51221084594727	.
chr1	150080000	150080001	chr1:150100000-150100001,3.42307591438293	3.42307591438293	.
chr1	150085000	150085001	chr1:150100000-150100001,3.2497193813324	3.2497193813324	.
chr1	149995000	149995001	chr1:150105000-150105001,6.41123485565186	6.41123485565186	.
chr1	150000000	150000001	chr1:150105000-150105001,3.01497268676758	3.01497268676758	.
chr1	150015000	150015001	chr1:150105000-150105001,3.16655921936035	3.16655921936035	.
chr1	150030000	150030001	chr1:150105000-150105001,3.28609085083008	3.28609085083008	.
chr1	150075000	150075001	chr1:150105000-150105001,3.00549817085266	3.00549817085266	.
chr1	150080000	150080001	chr1:150105000-150105001,3.53660988807678	3.53660988807678	.
chr1	150090000	150090001	chr1:150105000-150105001,6.41495227813721	6.41495227813721	.
chr1	149985000	149985001	chr1:150110000-150110001,10.0003509521484	10.0003509521484	.
chr1	150025000	150025001	chr1:150110000-150110001,3.6684513092041	3.6684513092041	.
chr1	150050000	150050001	chr1:150110000-150110001,3.27346611022949	3.27346611022949	.
chr1	150085000	150085001	chr1:150110000-150110001,7.04003381729126	7.04003381729126	.
chr1	150095000	150095001	chr1:150110000-150110001,6.39240694046021	6.39240694046021	.
chr1	149995000	149995001	chr1:150115000-150115001,3.30739259719849	3.30739259719849	.
chr1	150025000	150025001	chr1:150115000-150115001,3.61017727851868	3.61017727851868	.
chr1	150090000	150090001	chr1:150115000-150115001,3.3093101978302	3.3093101978302	.
chr1	150095000	150095001	chr1:150115000-150115001,3.14543128013611	3.14543128013611	.
chr1	150100000	150100001	chr1:150115000-150115001,3.52519106864929	3.52519106864929	.
chr1	149875000	149875001	chr1:150120000-150120001,4.30844068527222	4.30844068527222	.
chr1	150090000	150090001	chr1:150120000-150120001,8.42549800872803	8.42549800872803	.
chr1	150100000	150100001	chr1:150120000-150120001,5.98342037200928	5.98342037200928	.
chr1	150105000	150105001	chr1:150120000-150120001,6.18187379837036	6.18187379837036	.
chr1	149810000	149810001	chr1:150125000-150125001,3.9617874622345	3.9617874622345	.
chr1	150000000	150000001	chr1:150125000-150125001,3.98668932914734	3.98668932914734	.
chr1	150070000	150070001	chr1:150125000-150125001,5.52299451828003	5.52299451828003	.
chr1	150075000	150075001	chr1:150125000-150125001,5.96124124526978	5.96124124526978	.
chr1	150095000	150095001	chr1:150125000-150125001,4.03120708465576	4.03120708465576	.
chr1	150105000	150105001	chr1:150125000-150125001,4.66775703430176	4.66775703430176	.
chr1	149810000	149810001	chr1:150130000-150130001,11.8991069793701	11.8991069793701	.
chr1	149950000	149950001	chr1:150130000-150130001,3.88260793685913	3.88260793685913	.
chr1	150005000	150005001	chr1:150130000-150130001,4.62862682342529	4.62862682342529	.
chr1	150030000	150030001	chr1:150130000-150130001,3.26265954971313	3.26265954971313	.
chr1	150070000	150070001	chr1:150130000-150130001,5.529381275177	5.529381275177	.
chr1	150115000	150115001	chr1:150130000-150130001,3.61614203453064	3.61614203453064	.
chr1	150030000	150030001	chr1:150135000-150135001,5.15474939346313	5.15474939346313	.
chr1	150115000	150115001	chr1:150135000-150135001,5.71322441101074	5.71322441101074	.
chr1	149975000	149975001	chr1:150140000-150140001,6.15202331542969	6.15202331542969	.
chr1	150095000	150095001	chr1:150140000-150140001,4.09775447845459	4.09775447845459	.
chr1	150115000	150115001	chr1:150140000-150140001,7.34318256378174	7.34318256378174	.
chr1	150120000	150120001	chr1:150140000-150140001,10.3865175247192	10.3865175247192	.
chr1	150125000	150125001	chr1:150140000-150140001,6.27405071258545	6.27405071258545	.
chr1	149815000	149815001	chr1:150145000-150145001,3.87278461456299	3.87278461456299	.
chr1	150105000	150105001	chr1:150145000-150145001,3.31652355194092	3.31652355194092	.
chr1	150130000	150130001	chr1:150145000-150145001,5.48812580108643	5.48812580108643	.
chr1	150135000	150135001	chr1:150150000-150150001,3.75571846961975	3.75571846961975	.
chr1	149950000	149950001	chr1:150155000-150155001,3.82612013816833	3.82612013816833	.
chr1	150105000	150105001	chr1:150155000-150155001,3.45387411117554	3.45387411117554	.
chr1	150110000	150110001	chr1:150155000-150155001,3.62105202674866	3.62105202674866	.
chr1	150115000	150115001	chr1:150155000-150155001,3.56353116035461	3.56353116035461	.
chr1	150130000	150130001	chr1:150155000-150155001,6.85849285125732	6.85849285125732	.
chr1	149950000	149950001	chr1:150160000-150160001,3.24320340156555	3.24320340156555	.
chr1	150090000	150090001	chr1:150160000-150160001,5.32030200958252	5.32030200958252	.
chr1	150145000	150145001	chr1:150160000-150160001,6.72366571426392	6.72366571426392	.
chr1	149800000	149800001	chr1:150165000-150165001,15.173924446106	15.173924446106	.
chr1	149980000	149980001	chr1:150165000-150165001,6.57275915145874	6.57275915145874	.
chr1	150145000	150145001	chr1:150165000-150165001,3.83771419525146	3.83771419525146	.
chr1	150045000	150045001	chr1:150170000-150170001,4.19726228713989	4.19726228713989	.
chr1	150070000	150070001	chr1:150170000-150170001,6.3571515083313	6.3571515083313	.
chr1	150135000	150135001	chr1:150170000-150170001,4.21399641036987	4.21399641036987	.
chr1	149790000	149790001	chr1:150175000-150175001,32.7018775939941	32.7018775939941	.
chr1	150040000	150040001	chr1:150175000-150175001,3.67457437515259	3.67457437515259	.
chr1	150125000	150125001	chr1:150175000-150175001,3.15833163261414	3.15833163261414	.
chr1	150160000	150160001	chr1:150175000-150175001,3.96188235282898	3.96188235282898	.
chr1	149945000	149945001	chr1:150180000-150180001,3.951092004776	3.951092004776	.
chr1	150070000	150070001	chr1:150180000-150180001,3.06279015541077	3.06279015541077	.
chr1	150080000	150080001	chr1:150180000-150180001,5.83500576019287	5.83500576019287	.
chr1	150115000	150115001	chr1:150180000-150180001,4.00604820251465	4.00604820251465	.
chr1	150120000	150120001	chr1:150180000-150180001,3.39979720115662	3.39979720115662	.
chr1	150155000	150155001	chr1:150180000-150180001,3.79900074005127	3.79900074005127	.
chr1	150165000	150165001	chr1:150180000-150180001,5.77665090560913	5.77665090560913	.
chr1	150035000	150035001	chr1:150185000-150185001,3.04261612892151	3.04261612892151	.
chr1	150080000	150080001	chr1:150185000-150185001,5.65326547622681	5.65326547622681	.
chr1	150090000	150090001	chr1:150185000-150185001,3.41809725761414	3.41809725761414	.
chr1	150155000	150155001	chr1:150185000-150185001,3.68067502975464	3.68067502975464	.
chr1	150170000	150170001	chr1:150185000-150185001,4.29416179656982	4.29416179656982	.
chr1	149655000	149655001	chr1:150190000-150190001,49.8477554321289	49.8477554321289	.
chr1	149805000	149805001	chr1:150190000-150190001,21.3263301849365	21.3263301849365	.
chr1	150105000	150105001	chr1:150190000-150190001,3.01181817054749	3.01181817054749	.
chr1	150120000	150120001	chr1:150190000-150190001,3.95576882362366	3.95576882362366	.
chr1	150175000	150175001	chr1:150190000-150190001,4.07575654983521	4.07575654983521	.
chr1	149800000	149800001	chr1:150195000-150195001,28.6087818145752	28.6087818145752	.
chr1	149945000	149945001	chr1:150195000-150195001,3.35867881774902	3.35867881774902	.
chr1	149965000	149965001	chr1:150195000-150195001,4.06060266494751	4.06060266494751	.
chr1	149995000	149995001	chr1:150195000-150195001,4.49590539932251	4.49590539932251	.
chr1	150075000	150075001	chr1:150195000-150195001,6.32285451889038	6.32285451889038	.
chr1	150135000	150135001	chr1:150195000-150195001,3.88313674926758	3.88313674926758	.
chr1	150160000	150160001	chr1:150195000-150195001,4.10608148574829	4.10608148574829	.
chr1	150175000	150175001	chr1:150195000-150195001,5.02487707138062	5.02487707138062	.
chr1	150180000	150180001	chr1:150195000-150195001,6.80702877044678	6.80702877044678	.
chr1	149405000	149405001	chr1:150200000-150200001,19.310920715332	19.310920715332	.
chr1	150095000	150095001	chr1:150205000-150205001,3.01398181915283	3.01398181915283	.
chr1	150180000	150180001	chr1:150205000-150205001,3.83863306045532	3.83863306045532	.
chr1	150055000	150055001	chr1:150210000-150210001,3.24079537391663	3.24079537391663	.
chr1	150080000	150080001	chr1:150210000-150210001,4.19791460037231	4.19791460037231	.
chr1	150185000	150185001	chr1:150210000-150210001,3.34894418716431	3.34894418716431	.
chr1	150190000	150190001	chr1:150210000-150210001,3.57499289512634	3.57499289512634	.
chr1	149955000	149955001	chr1:150215000-150215001,5.36355924606323	5.36355924606323	.
chr1	150050000	150050001	chr1:150215000-150215001,4.59050321578979	4.59050321578979	.
chr1	150060000	150060001	chr1:150215000-150215001,3.62826561927795	3.62826561927795	.
chr1	150085000	150085001	chr1:150215000-150215001,4.93625116348267	4.93625116348267	.
chr1	150125000	150125001	chr1:150215000-150215001,3.43130230903625	3.43130230903625	.
chr1	149810000	149810001	chr1:150220000-150220001,3.62101078033447	3.62101078033447	.
chr1	149815000	149815001	chr1:150220000-150220001,22.4181423187256	22.4181423187256	.
chr1	149960000	149960001	chr1:150220000-150220001,6.40502071380615	6.40502071380615	.
chr1	150165000	150165001	chr1:150220000-150220001,3.17359042167664	3.17359042167664	.
chr1	149640000	149640001	chr1:150225000-150225001,3.47893977165222	3.47893977165222	.
chr1	149795000	149795001	chr1:150225000-150225001,3.83576273918152	3.83576273918152	.
chr1	150185000	150185001	chr1:150225000-150225001,3.58564782142639	3.58564782142639	.
chr1	150210000	150210001	chr1:150225000-150225001,3.63078379631042	3.63078379631042	.
chr1	149800000	149800001	chr1:150230000-150230001,3.1888644695282	3.1888644695282	.
chr1	150210000	150210001	chr1:150230000-150230001,4.2577600479126	4.2577600479126	.
chr1	150215000	150215001	chr1:150230000-150230001,3.65102386474609	3.65102386474609	.
chr1	150210000	150210001	chr1:150235000-150235001,5.00463247299194	5.00463247299194	.
chr1	150220000	150220001	chr1:150235000-150235001,4.12499094009399	4.12499094009399	.
chr1	149965000	149965001	chr1:150240000-150240001,3.95377278327942	3.95377278327942	.
chr1	150195000	150195001	chr1:150240000-150240001,3.3805034160614	3.3805034160614	.
chr1	150215000	150215001	chr1:150240000-150240001,5.31554651260376	5.31554651260376	.
chr1	150235000	150235001	chr1:150250000-150250001,4.18064117431641	4.18064117431641	.
chr1	150240000	150240001	chr1:150260000-150260001,3.14913654327393	3.14913654327393	.
chr1	149815000	149815001	chr1:150265000-150265001,3.06437206268311	3.06437206268311	.
chr1	150240000	150240001	chr1:150265000-150265001,3.58366942405701	3.58366942405701	.
chr1	150250000	150250001	chr1:150265000-150265001,3.2381272315979	3.2381272315979	.
chr1	149605000	149605001	chr1:150270000-150270001,4.51047849655151	4.51047849655151	.
chr1	150160000	150160001	chr1:150275000-150275001,5.71145534515381	5.71145534515381	.
chr1	150250000	150250001	chr1:150275000-150275001,6.03478288650513	6.03478288650513	.
chr1	150255000	150255001	chr1:150275000-150275001,4.54261827468872	4.54261827468872	.
chr1	150260000	150260001	chr1:150275000-150275001,4.16517734527588	4.16517734527588	.
chr1	150265000	150265001	chr1:150285000-150285001,3.30324912071228	3.30324912071228	.
chr1	150270000	150270001	chr1:150285000-150285001,3.27470755577087	3.27470755577087	.
chr1	150275000	150275001	chr1:150295000-150295001,4.66367673873901	4.66367673873901	.
chr1	150275000	150275001	chr1:150300000-150300001,3.15610337257385	3.15610337257385	.
chr1	150285000	150285001	chr1:150305000-150305001,4.42890071868896	4.42890071868896	.
chr1	150290000	150290001	chr1:150305000-150305001,5.31382465362549	5.31382465362549	.
chr1	150295000	150295001	chr1:150310000-150310001,6.41863870620728	6.41863870620728	.
chr1	150155000	150155001	chr1:150315000-150315001,5.22307443618774	5.22307443618774	.
chr1	150300000	150300001	chr1:150315000-150315001,4.56761598587036	4.56761598587036	.
chr1	150295000	150295001	chr1:150320000-150320001,3.37155628204346	3.37155628204346	.
chr1	149910000	149910001	chr1:150325000-150325001,3.09781265258789	3.09781265258789	.
chr1	150240000	150240001	chr1:150325000-150325001,3.90670990943909	3.90670990943909	.
chr1	150290000	150290001	chr1:150325000-150325001,4.44396162033081	4.44396162033081	.
chr1	150310000	150310001	chr1:150325000-150325001,6.46509599685669	6.46509599685669	.
chr1	150305000	150305001	chr1:150330000-150330001,4.11670017242432	4.11670017242432	.
chr1	150315000	150315001	chr1:150330000-150330001,5.62127494812012	5.62127494812012	.
chr1	149640000	149640001	chr1:150335000-150335001,13.081109046936	13.081109046936	.
chr1	150320000	150320001	chr1:150335000-150335001,3.12069630622864	3.12069630622864	.
chr1	150285000	150285001	chr1:150340000-150340001,3.95399069786072	3.95399069786072	.
chr1	150310000	150310001	chr1:150340000-150340001,3.94378805160522	3.94378805160522	.
chr1	150320000	150320001	chr1:150340000-150340001,3.55127453804016	3.55127453804016	.
chr1	150310000	150310001	chr1:150345000-150345001,4.09234428405762	4.09234428405762	.
chr1	150330000	150330001	chr1:150345000-150345001,13.3479824066162	13.3479824066162	.
chr1	150070000	150070001	chr1:150350000-150350001,3.75375938415527	3.75375938415527	.
chr1	150325000	150325001	chr1:150350000-150350001,3.85652875900269	3.85652875900269	.
chr1	150330000	150330001	chr1:150350000-150350001,5.01103258132935	5.01103258132935	.
chr1	150335000	150335001	chr1:150350000-150350001,4.65141344070435	4.65141344070435	.
chr1	150340000	150340001	chr1:150360000-150360001,4.31150579452515	4.31150579452515	.
chr1	150350000	150350001	chr1:150365000-150365001,4.00906896591187	4.00906896591187	.
chr1	150335000	150335001	chr1:150370000-150370001,3.60692238807678	3.60692238807678	.
chr1	150360000	150360001	chr1:150375000-150375001,4.11273336410522	4.11273336410522	.
chr1	150335000	150335001	chr1:150380000-150380001,3.51989412307739	3.51989412307739	.
chr1	150350000	150350001	chr1:150380000-150380001,3.64090466499329	3.64090466499329	.
chr1	150365000	150365001	chr1:150380000-150380001,5.46085548400879	5.46085548400879	.
chr1	150310000	150310001	chr1:150385000-150385001,4.44511556625366	4.44511556625366	.
chr1	150360000	150360001	chr1:150385000-150385001,3.23971819877625	3.23971819877625	.
chr1	150370000	150370001	chr1:150385000-150385001,9.25271129608154	9.25271129608154	.
chr1	149810000	149810001	chr1:150390000-150390001,4.12593746185303	4.12593746185303	.
chr1	150375000	150375001	chr1:150390000-150390001,4.12626934051514	4.12626934051514	.
chr1	149875000	149875001	chr1:150395000-150395001,3.16838192939758	3.16838192939758	.
chr1	150350000	150350001	chr1:150395000-150395001,3.06421804428101	3.06421804428101	.
chr1	150370000	150370001	chr1:150395000-150395001,3.56420588493347	3.56420588493347	.
chr1	150380000	150380001	chr1:150395000-150395001,6.95641613006592	6.95641613006592	.
chr1	149800000	149800001	chr1:150400000-150400001,14.5606184005737	14.5606184005737	.
chr1	150310000	150310001	chr1:150400000-150400001,3.79633355140686	3.79633355140686	.
chr1	150375000	150375001	chr1:150400000-150400001,4.27772665023804	4.27772665023804	.
chr1	150385000	150385001	chr1:150400000-150400001,4.21211051940918	4.21211051940918	.
chr1	150310000	150310001	chr1:150405000-150405001,3.31276512145996	3.31276512145996	.
chr1	150390000	150390001	chr1:150405000-150405001,7.56993055343628	7.56993055343628	.
chr1	150370000	150370001	chr1:150410000-150410001,4.44946098327637	4.44946098327637	.
chr1	150375000	150375001	chr1:150410000-150410001,4.81725978851318	4.81725978851318	.
chr1	150395000	150395001	chr1:150410000-150410001,3.65435314178467	3.65435314178467	.
chr1	150390000	150390001	chr1:150415000-150415001,3.55342173576355	3.55342173576355	.
chr1	150395000	150395001	chr1:150415000-150415001,3.32310938835144	3.32310938835144	.
chr1	150400000	150400001	chr1:150415000-150415001,5.52577829360962	5.52577829360962	.
chr1	150340000	150340001	chr1:150420000-150420001,3.80524301528931	3.80524301528931	.
chr1	150350000	150350001	chr1:150420000-150420001,3.45883131027222	3.45883131027222	.
chr1	150375000	150375001	chr1:150420000-150420001,4.35577249526978	4.35577249526978	.
chr1	150395000	150395001	chr1:150420000-150420001,3.30427074432373	3.30427074432373	.
chr1	150405000	150405001	chr1:150420000-150420001,3.19638800621033	3.19638800621033	.
chr1	150400000	150400001	chr1:150425000-150425001,4.57900333404541	4.57900333404541	.
chr1	150405000	150405001	chr1:150425000-150425001,3.99574017524719	3.99574017524719	.
chr1	150410000	150410001	chr1:150425000-150425001,3.43769025802612	3.43769025802612	.
chr1	150380000	150380001	chr1:150430000-150430001,4.63306140899658	4.63306140899658	.
chr1	150385000	150385001	chr1:150430000-150430001,5.06121301651001	5.06121301651001	.
chr1	150410000	150410001	chr1:150430000-150430001,4.86769104003906	4.86769104003906	.
chr1	150340000	150340001	chr1:150435000-150435001,3.61153149604797	3.61153149604797	.
chr1	150395000	150395001	chr1:150435000-150435001,3.13606190681458	3.13606190681458	.
chr1	150400000	150400001	chr1:150435000-150435001,5.21474981307983	5.21474981307983	.
chr1	150365000	150365001	chr1:150440000-150440001,4.50195217132568	4.50195217132568	.
chr1	150390000	150390001	chr1:150440000-150440001,4.59927272796631	4.59927272796631	.
chr1	150395000	150395001	chr1:150440000-150440001,4.30117416381836	4.30117416381836	.
chr1	150410000	150410001	chr1:150440000-150440001,8.05420875549316	8.05420875549316	.
chr1	150420000	150420001	chr1:150440000-150440001,4.85508394241333	4.85508394241333	.
chr1	149800000	149800001	chr1:150445000-150445001,11.257363319397	11.257363319397	.
chr1	150420000	150420001	chr1:150445000-150445001,5.66395902633667	5.66395902633667	.
chr1	150430000	150430001	chr1:150445000-150445001,3.34189534187317	3.34189534187317	.
chr1	149640000	149640001	chr1:150450000-150450001,15.3021812438965	15.3021812438965	.
chr1	150345000	150345001	chr1:150450000-150450001,4.14108467102051	4.14108467102051	.
chr1	150375000	150375001	chr1:150450000-150450001,4.56812810897827	4.56812810897827	.
chr1	150380000	150380001	chr1:150450000-150450001,4.11754512786865	4.11754512786865	.
chr1	150405000	150405001	chr1:150455000-150455001,3.09033942222595	3.09033942222595	.
chr1	150410000	150410001	chr1:150455000-150455001,3.98810815811157	3.98810815811157	.
chr1	150430000	150430001	chr1:150455000-150455001,8.51069068908691	8.51069068908691	.
