# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
RERE               1    8412464    8877699   1024      39  375481       3.7707    0.00090455       3.7698
ENO1               1    8921059    8939151     38      10  377901    -0.091145    0.00090455     -0.09205
CA6                1    9005893    9035151    135      31  372569      -1.4387    0.00090455      -1.4396
SLC2A7             1    9063359    9086404     68      22  373040       1.1772    0.00090455       1.1763
SLC2A5             1    9097005    9131763    120      21  372784     -0.41354    0.00090455     -0.41445
GPR157             1    9163472    9189229     69      14  373143      -1.1579    0.00090455      -1.1588
H6PD               1    9294822    9331396    116      25  369656        0.603    0.00090455       0.6021
SPSB1              1    9335202    9429591    487      82  370698      -2.0091    0.00090455        -2.01
SLC25A33           1    9599528    9642831     72      13  373692       1.7187    0.00090455       1.7178
TMEM201            1    9648932    9674935     60      15  374147       1.1368    0.00090455       1.1359
PIK3CD             1    9711789    9789172    217      49  372694      0.67774    0.00090455      0.67683
CLSTN1             1    9789079    9884550    218      37  371525      -1.1634    0.00090455      -1.1643
CTNNBIP1           1    9908334    9970316    167      30  373389     -0.85545    0.00090455     -0.85636
LZIC               1    9982168   10003460     56      15  374944      -0.8964    0.00090455     -0.89731
NMNAT1             1   10003486   10045556    101      19  374062      -1.0929    0.00090455      -1.0938
RBP7               1   10057255   10076078     52       9  373086      -1.0028    0.00090455      -1.0037
UBE4B              1   10093041   10241297    420      31  373431      -1.3082    0.00090455      -1.3091
KIF1B              1   10270606   10441664    619      24  375049      0.02956    0.00090455     0.028655
PGD                1   10458884   10480565     55      11  373318      0.72807    0.00090455      0.72716
APITD1             1   10489944   10510239     58      10  373287      0.28109    0.00090455      0.28019
APITD1-CORT        1   10490159   10512060     60      10  373126      0.52813    0.00090455      0.52722
CORT               1   10509776   10512060      5       2  373336       1.4558    0.00090455       1.4549
DFFA               1   10520588   10532613     29      10  371688      0.46021    0.00090455       0.4593
PEX14              1   10535003   10690815    432      36  376402       -1.037    0.00090455      -1.0379
CASZ1              1   10696661   10856733    408      79  370872       1.2063    0.00090455       1.2054
C1orf127           1   11006530   11042094    137      20  373092     -0.48266    0.00090455     -0.48356
TARDBP             1   11072462   11085549     30       6  375902       1.2841    0.00090455       1.2832
MASP2              1   11086580   11107296     76      14  374063       1.2777    0.00090455       1.2768
SRM                1   11114649   11120091      9       3  372320     -0.28704    0.00090455     -0.28795
EXOSC10            1   11126675   11159961     93       6  374337      0.14208    0.00090455      0.14118
MTOR               1   11166588   11322614    356      13  373962      0.27425    0.00090455      0.27334
ANGPTL7            1   11249346   11256038     17       4  371917     -0.30043    0.00090455     -0.30134
UBIAD1             1   11333255   11348491     27       5  372671     -0.53553    0.00090455     -0.53644
PTCHD2             1   11539295   11597640    163      19  375113      -1.6063    0.00090455      -1.6072
FBXO2              1   11707924   11714888     10       5  367350       1.2487    0.00090455       1.2478
FBXO44             1   11714432   11723384     24       8  370415      0.98341    0.00090455      0.98251
FBXO6              1   11724150   11734411     33      10  370918      -1.6926    0.00090455      -1.6935
MAD2L2             1   11734537   11751678     58      12  368406      -1.2872    0.00090455      -1.2881
DRAXIN             1   11751781   11780336     58      12  368675      0.95183    0.00090455      0.95093
AGTRAP             1   11796142   11810828     36       7  373622       1.8635    0.00090455       1.8626
C1orf167           1   11823827   11849642    148      12  373920      -1.0508    0.00090455      -1.0517
MTHFR              1   11845787   11866160     89      14  377634      -1.3955    0.00090455      -1.3964
CLCN6              1   11866153   11903201    212      19  375917      -1.6459    0.00090455      -1.6468
NPPA               1   11905766   11907840     12       4  379269      -1.4629    0.00090455      -1.4638
NPPB               1   11917521   11918992      4       2  372742      0.76104    0.00090455      0.76014
KIAA2013           1   11979645   11986485     23       7  374720       -1.263    0.00090455      -1.2639
PLOD1              1   11994724   12035599    136      18  372302      0.38313    0.00090455      0.38222
MFN2               1   12040238   12073572     87      12  373746      0.42791    0.00090455      0.42701
MIIP               1   12079299   12092106     23       6  372138      -1.0353    0.00090455      -1.0362
TNFRSF8            1   12123434   12204264    166      32  369638      -1.0414    0.00090455      -1.0423
TNFRSF1B           1   12227044   12269279    110      14  374144      0.18706    0.00090455      0.18616
VPS13D             1   12290101   12572099    669      35  372918      -1.9844    0.00090455      -1.9853
DHRS3              1   12627939   12677820    170      35  372561      -1.8343    0.00090455      -1.8352
AADACL4            1   12704566   12727097     53       6  371083     -0.98229    0.00090455     -0.98319
AADACL3            1   12776118   12788726     50       9  378597      0.63059    0.00090455      0.62969
C1orf158           1   12806163   12821102     58       9  376809      0.07583    0.00090455     0.074925
PRAMEF12           1   12834984   12838049      6       2  378650       1.2874    0.00090455       1.2865
HNRNPCL1           1   12907261   12908578      5       3  366229      0.77243    0.00090455      0.77152
PRAMEF2            1   12916941   12921764     21       4  370077      0.85164    0.00090455      0.85073
PRAMEF4            1   12939033   12946025      1       1  372903     0.052132    0.00090455     0.051227
HNRNPCL2           1   13182960   13184326      3       1  372638      -1.3814    0.00090455      -1.3823
LRRC38             1   13801445   13840242    140      32  371931      -1.2043    0.00090455      -1.2052
PDPN               1   13910252   13944452    114      27  373961      -1.0258    0.00090455      -1.0267
PRDM2              1   14026714   14151574    409      38  376178     0.074877    0.00090455     0.073972
KAZN               1   14219646   15444544   5111     391  374399     -0.81783    0.00090455     -0.81873
TMEM51             1   15479028   15546974    373      32  375869      0.38551    0.00090455       0.3846
C1orf195           1   15490692   15498120     32       9  374985      0.73648    0.00090455      0.73558
FHAD1              1   15573730   15724767    516      59  373387      0.94296    0.00090455      0.94205
EFHD2              1   15736391   15756839     82      19  371359       1.4234    0.00090455       1.4225
CTRC               1   15764938   15773153     28      11  371413       2.4895    0.00090455       2.4886
CELA2A             1   15783223   15798586     67      12  366601       2.4397    0.00090455       2.4388
CELA2B             1   15802596   15817895     55      12  375673     0.091457    0.00090455     0.090552
CASP9              1   15817896   15851407    137      12  378883       0.2324    0.00090455       0.2315
DNAJC16            1   15853343   15898228    127      15  374969      0.82264    0.00090455      0.82173
AGMAT              1   15898194   15911605     56       9  373973       1.0508    0.00090455       1.0499
DDI2               1   15943953   15995539    134      11  375771       2.2705    0.00090455       2.2696
RSC1A1             1   15986364   15988217      5       3  372903       1.8515    0.00090455       1.8506
PLEKHM2            1   16010632   16061264    177      20  374964        2.581    0.00090455       2.5801
SLC25A34           1   16062721   16067884      9       4  374235      0.87994    0.00090455      0.87903
TMEM82             1   16068987   16074292     24       8  371575     -0.26814    0.00090455     -0.26905
FBLIM1             1   16083107   16113089    110      20  372410     -0.10567    0.00090455     -0.10658
UQCRHL             1   16133657   16134194      5       2  376313      -1.0525    0.00090455      -1.0534
SPEN               1   16174359   16266951    235      38  374898     0.010479    0.00090455    0.0095746
ZBTB17             1   16268364   16302627     79      23  374773     -0.38008    0.00090455     -0.38099
TBC1D3P6           1   16302626   16323701     97      18  374356      0.37974    0.00090455      0.37883
C1orf64            1   16330731   16333184     18       7  375366      0.56456    0.00090455      0.56366
HSPB7              1   16340523   16346084     46       6  372943       1.2629    0.00090455        1.262
CLCNKA             1   16348486   16360548     76      15  373930      0.58458    0.00090455      0.58368
CLCNKB             1   16370231   16383821    119      18  373367     -0.78699    0.00090455     -0.78789
FAM131C            1   16384264   16400127     63      11  372733      0.98654    0.00090455      0.98563
EPHA2              1   16450832   16482582     74      20  374185      -1.3224    0.00090455      -1.3234
ARHGEF19           1   16524599   16539104     61      10  375441       -1.986    0.00090455      -1.9869
ANO7P1             1   16551343   16553528      7       1  374052      -1.6281    0.00090455       -1.629
RSG1               1   16558182   16563659     20       9  371374       -2.319    0.00090455      -2.3199
FBXO42             1   16573339   16678965    254      15  374969      -1.9328    0.00090455      -1.9337
SZRD1              1   16693525   16724643     71      12  374609       -1.329    0.00090455      -1.3299
SPATA21            1   16722101   16763919    141      29  372782     -0.64295    0.00090455     -0.64385
NECAP2             1   16767167   16786585     47      12  374551     -0.89169    0.00090455     -0.89259
CROCC              1   17248445   17299474    107      19  372539      -1.6045    0.00090455      -1.6054
MFAP2              1   17300997   17308081     19       7  373353     -0.74461    0.00090455     -0.74551
ATP13A2            1   17312453   17338467     65      16  373912      -1.3032    0.00090455      -1.3041
SDHB               1   17345217   17380665    131      15  375152      -1.6214    0.00090455      -1.6224
PADI2              1   17393256   17445948    272      20  374731      -1.6492    0.00090455      -1.6502
PADI1              1   17531621   17572501    146      40  373626       -1.365    0.00090455      -1.3659
PADI3              1   17575593   17610728    197      34  376585     -0.33486    0.00090455     -0.33576
PADI4              1   17634690   17690495    285      25  375439      -1.3711    0.00090455       -1.372
PADI6              1   17698741   17728195    179      21  376105       -1.251    0.00090455      -1.2519
RCC2               1   17733251   17766250    102      22  374571      -1.0834    0.00090455      -1.0843
ARHGEF10L          1   17846693   18024370    444      59  373819     -0.46285    0.00090455     -0.46375
ACTL8              1   18081808   18153558    175      23  374635       1.5574    0.00090455       1.5565
IGSF21             1   18434240   18704977    979     138  374753     -0.16802    0.00090455     -0.16892
KLHDC7A            1   18807424   18812540     29       7  377032     -0.43193    0.00090455     -0.43284
PAX7               1   18957500   19075360    368      69  372981     -0.67215    0.00090455     -0.67305
TAS1R2             1   19166093   19186155    109      22  373198      -1.5133    0.00090455      -1.5142
ALDH4A1            1   19197924   19229293    178      31  370579      0.18606    0.00090455      0.18515
IFFO2              1   19230774   19282826    219      42  371972      0.96191    0.00090455        0.961
UBR4               1   19401000   19536812    384      35  376284     0.037302    0.00090455     0.036398
EMC1               1   19542158   19578053    132      20  374388      0.98315    0.00090455      0.98225
MRTO4              1   19578075   19586622     55      10  374429      0.66313    0.00090455      0.66222
AKR7A3             1   19609057   19615280     26       5  375005       1.7842    0.00090455       1.7833
AKR7A2             1   19629202   19638640     28      12  373657       3.6791    0.00090455       3.6782
PQLC2              1   19638740   19658925    107      18  371107        1.665    0.00090455       1.6641
CAPZB              1   19665267   19812066    686      40  374895      0.10727    0.00090455      0.10636
MINOS1             1   19923471   19956315    132      15  374476        -1.05    0.00090455      -1.0509
MINOS1-NBL1        1   19923471   19984949    253      31  373290     -0.32532    0.00090455     -0.32622
NBL1               1   19969723   19984949     53      17  371671       1.9506    0.00090455       1.9497
HTR6               1   19991780   20006055     49      11  373519       2.3609    0.00090455         2.36
TMCO4              1   20008706   20126424    399      55  372313         1.81    0.00090455       1.8091
RNF186             1   20140522   20141771      6       4  372190     0.052721    0.00090455     0.051817
OTUD3              1   20208356   20239438     85      18  372658      0.21139    0.00090455      0.21048
PLA2G2E            1   20246800   20250110     22       8  377741     -0.39271    0.00090455     -0.39362
PLA2G2A            1   20301924   20306932     17       8  376659       0.1627    0.00090455       0.1618
PLA2G5             1   20386157   20418394    137      25  378877     -0.48085    0.00090455     -0.48176
PLA2G2D            1   20439143   20446059     19       9  370047     -0.20972    0.00090455     -0.21062
PLA2G2F            1   20465823   20476879     12       6  372827     -0.58682    0.00090455     -0.58772
PLA2G2C            1   20490484   20501687     44      11  379110     -0.29749    0.00090455     -0.29839
UBXN10             1   20512578   20522540     12       5  372077     -0.22877    0.00090455     -0.22968
VWA5B1             1   20617412   20681662    296      33  376153       1.3713    0.00090455       1.3704
CAMK2N1            1   20808884   20812728      7       5  371981       1.7889    0.00090455        1.788
MUL1               1   20825941   20834674     36      14  375379       2.7347    0.00090455       2.7338
FAM43B             1   20878932   20881513      4       1  372123      0.97028    0.00090455      0.96938
CDA                1   20915444   20945401    133      25  373684      -1.3342    0.00090455      -1.3351
PINK1              1   20959948   20978004     89      16  374123     -0.84234    0.00090455     -0.84325
DDOST              1   20978260   20988037     41      12  379538      -1.2228    0.00090455      -1.2237
KIF17              1   20990475   21044317    233      58  372246       2.5271    0.00090455       2.5262
SH2D5              1   21046225   21059133     41      11  376124       2.4303    0.00090455       2.4294
HP1BP3             1   21069170   21113808    105      20  374334       4.0524    0.00090455       4.0515
EIF4G3             1   21132785   21503381    851      39  374855       4.4683    0.00090455       4.4674
ECE1               1   21543740   21672034    454      64  374334        2.128    0.00090455       2.1271
NBPF3              1   21766583   21811393    191      25  372287      0.42371    0.00090455      0.42281
ALPL               1   21835475   21904905    345      38  376143     -0.42159    0.00090455     -0.42249
RAP1GAP            1   21922708   21996010    304      56  373756      0.68637    0.00090455      0.68547
USP48              1   22004791   22109688    421      45  374977         2.32    0.00090455       2.3191
LDLRAD2            1   22138758   22151714     43      19  372728       1.3168    0.00090455       1.3159
HSPG2              1   22148737   22263750    449      52  373799     -0.14883    0.00090455     -0.14974
CELA3B             1   22303418   22315847     79      12  373430       2.0686    0.00090455       2.0677
CELA3A             1   22328149   22339035     34       9  372917     0.026418    0.00090455     0.025514
CDC42              1   22379120   22419439    134      25  372804       1.0231    0.00090455       1.0222
WNT4               1   22443798   22470474    112      26  374899       1.2331    0.00090455       1.2321
ZBTB40             1   22778344   22857650    197      30  375510       1.0221    0.00090455       1.0212
EPHA8              1   22890004   22930087    168      32  372361       1.4852    0.00090455       1.4843
C1QA               1   22963118   22966175      8       5  378905     -0.25707    0.00090455     -0.25797
C1QC               1   22969969   22974603     23       5  376001      -1.1609    0.00090455      -1.1618
C1QB               1   22979682   22988130     35      11  377422        1.632    0.00090455       1.6311
EPHB2              1   23037263   23241823    521      66  374339       1.2782    0.00090455       1.2773
LACTBL1            1   23279536   23299524     62      19  372670     0.066138    0.00090455     0.065233
C1orf234           1   23337327   23342343     13       5  374037       1.0464    0.00090455       1.0455
KDM1A              1   23345937   23410184    100      18  374475       1.0274    0.00090455       1.0265
LUZP1              1   23410516   23504301    203      30  375029       1.0679    0.00090455        1.067
HTR1D              1   23518388   23521222      7       4  371945      0.23428    0.00090455      0.23337
HNRNPR             1   23635953   23671143     84      16  373423       0.2327    0.00090455      0.23179
ZNF436             1   23685941   23696357     37      10  378369       1.6762    0.00090455       1.6753
TCEA3              1   23707555   23751269    150      28  375124   -0.0041557    0.00090455   -0.0050603
ASAP3              1   23755056   23810750    159      27  375839   0.00050668    0.00090455  -0.00039788
E2F2               1   23832920   23857712     76      16  373539       1.7186    0.00090455       1.7177
ID3                1   23884421   23886285      7       4  367472      0.85598    0.00090455      0.85507
RPL11              1   24018269   24022915     15       5  373771     -0.42265    0.00090455     -0.42355
TCEB3              1   24069856   24088549     42       9  373595     -0.16931    0.00090455     -0.17022
PITHD1             1   24104876   24114722     13       7  372839      0.83923    0.00090455      0.83832
LYPLA2             1   24117275   24122029      5       3  372785      -1.2659    0.00090455      -1.2668
GALE               1   24122089   24127294      3       2  367909      -2.3334    0.00090455      -2.3343
HMGCL              1   24128367   24165110     59       9  374835      0.80053    0.00090455      0.79963
FUCA1              1   24171567   24194859     46       9  373124     0.077219    0.00090455     0.076314
CNR2               1   24197005   24285549    219      19  371595     -0.35903    0.00090455     -0.35993
PNRC2              1   24286301   24289952      2       1  372615     -0.79225    0.00090455     -0.79315
SRSF10             1   24292935   24306953      3       2  372900      -1.3665    0.00090455      -1.3674
MYOM3              1   24382531   24438665    244      37  375505     -0.76438    0.00090455     -0.76528
IL22RA1            1   24446261   24469783     85      22  375517      0.68737    0.00090455      0.68646
IFNLR1             1   24480647   24513765    137      23  371597    -0.089786    0.00090455    -0.090691
GRHL3              1   24645812   24690972    124      30  374358      -2.2095    0.00090455      -2.2104
STPG1              1   24683489   24741587    209      30  374583      -1.6438    0.00090455      -1.6447
NIPAL3             1   24742245   24799473    230      32  374137      -1.4161    0.00090455       -1.417
RCAN3              1   24828841   24863510    139      23  373245      -1.2456    0.00090455      -1.2465
NCMAP              1   24882567   24935819    249      39  372035     -0.98173    0.00090455     -0.98263
SRRM1              1   24969594   24999772     35       9  370576      -1.4014    0.00090455      -1.4023
CLIC4              1   25071760   25170815    161      28  373479      0.45727    0.00090455      0.45636
RUNX3              1   25226002   25291648    153      36  373410       -0.776    0.00090455      -0.7769
SYF2               1   25548767   25559013     27       7  372288       1.7374    0.00090455       1.7365
RSRP1              1   25568740   25574010     15       7  373344       1.3015    0.00090455       1.3006
RHD                1   25598884   25656936     21       6  372561       2.6279    0.00090455        2.627
TMEM50A            1   25664789   25688852     53      10  372182       -0.893    0.00090455      -0.8939
RHCE               1   25687853   25747363    118      15  371799     -0.33519    0.00090455      -0.3361
TMEM57             1   25757388   25826700    115       7  372275     -0.77395    0.00090455     -0.77485
LDLRAP1            1   25870071   25895377     80      13  373233      0.45262    0.00090455      0.45172
MAN1C1             1   25943959   26111258    321      31  374222     0.034304    0.00090455       0.0334
SEPN1              1   26126667   26144713     55       9  371914      -1.3308    0.00090455      -1.3317
MTFR1L             1   26146397   26159433     37       5  375094      -2.3131    0.00090455       -2.314
AUNIP              1   26158414   26185939     79       6  375197      -1.7717    0.00090455      -1.7726
PAQR7              1   26187975   26202461     34       6  373896     -0.63115    0.00090455     -0.63206
STMN1              1   26210670   26233368     39      10  374007     -0.71118    0.00090455     -0.71208
PAFAH2             1   26286258   26326366    114      14  375071      -1.3346    0.00090455      -1.3355
EXTL1              1   26348266   26362955     49      19  374123      0.35637    0.00090455      0.35547
SLC30A2            1   26364513   26373439     28       9  374463       1.4273    0.00090455       1.4264
TRIM63             1   26377792   26394142     64      14  375652      0.86251    0.00090455      0.86161
PDIK1L             1   26437656   26452039     36       3  378413     0.045795    0.00090455     0.044891
FAM110D            1   26485511   26489119     15       8  374361     -0.51743    0.00090455     -0.51834
ZNF593             1   26496388   26497364      5       2  379482      0.10136    0.00090455      0.10046
CNKSR1             1   26503981   26516375     40      15  373380     -0.57944    0.00090455     -0.58035
CATSPER4           1   26517119   26529033     76      16  375931      0.42113    0.00090455      0.42022
CEP85              1   26560644   26605529    163      18  375530      -1.1461    0.00090455       -1.147
SH3BGRL3           1   26606213   26608013      5       3  374092      0.62766    0.00090455      0.62675
UBXN11             1   26608773   26644756    147      16  378241     -0.83902    0.00090455     -0.83993
CD52               1   26644411   26647014     12       4  376669     -0.23425    0.00090455     -0.23516
AIM1L              1   26648350   26680621    110      19  376150      0.10587    0.00090455      0.10497
ZNF683             1   26688125   26701023     59      13  375854      -0.9647    0.00090455      -0.9656
LIN28A             1   26737269   26756219     39      14  374936      -1.6124    0.00090455      -1.6133
DHDDS              1   26758773   26797797     89      26  375448      0.23944    0.00090455      0.23854
HMGN2              1   26798902   26803133     11       6  378099      0.50541    0.00090455       0.5045
RPS6KA1            1   26856249   26901520    124      22  374888      -1.1602    0.00090455      -1.1612
LOC101928728       1   27018623   27022896      9       3  375566     -0.89319    0.00090455      -0.8941
ARID1A             1   27022522   27108601    146      14  373776      -1.5799    0.00090455      -1.5808
PIGV               1   27113739   27124894     22       9  372165      -1.6595    0.00090455      -1.6604
ZDHHC18            1   27153201   27184092     60      13  374654      -2.2177    0.00090455      -2.2186
SFN                1   27189633   27190947      1       1  372903       1.6568    0.00090455       1.6559
GPN2               1   27205872   27216869     23       8  372674      -1.9599    0.00090455      -1.9609
GPATCH3            1   27216979   27226962     16       8  374041     -0.47836    0.00090455     -0.47926
NR0B2              1   27237975   27240567      7       4  374674      -2.7636    0.00090455      -2.7645
NUDC               1   27248187   27273362     53      14  374488      -1.8335    0.00090455      -1.8344
KDF1               1   27276047   27286901     23       7  374192      -1.4528    0.00090455      -1.4537
TRNP1              1   27320189   27327377     11       5  372407     -0.34697    0.00090455     -0.34788
FAM46B             1   27331511   27339333     13       5  371551      -1.3477    0.00090455      -1.3486
