# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
GENE             CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT  ZFITTED_BASE  ZRESID_BASE
CAMTA1             1    6845384    7829766   2795     212  503      -2.3293    0.00034104      -2.3297
VAMP3              1    7831329    7841492     34       9  503      0.62833    0.00034104      0.62799
PER3               1    7844413    7905241    243      31  503   -0.0079877    0.00034104   -0.0083288
UTS2               1    7907672    7913551     23       9  503     -0.26957    0.00034104     -0.26991
TNFRSF9            1    7975931    8003225     57       7  503     -0.42952    0.00034104     -0.42986
PARK7              1    8021714    8045342     50       8  503     -0.20515    0.00034104     -0.20549
ERRFI1             1    8071779    8086393     21       4  503     -0.30283    0.00034104     -0.30317
SLC45A1            1    8378171    8404227     85      15  503       4.4776    0.00034104       4.4772
RERE               1    8412464    8877699    715      27  503       3.6441    0.00034104       3.6437
ENO1               1    8921059    8939151     24       4  503      0.39354    0.00034104       0.3932
CA6                1    9005893    9035151    124      27  503      -1.3115    0.00034104      -1.3118
SLC2A7             1    9063359    9086404     74      19  503      -1.6662    0.00034104      -1.6665
SLC2A5             1    9097005    9131763    119      17  503      -1.2695    0.00034104      -1.2698
GPR157             1    9163472    9189229     65      10  503       -1.204    0.00034104      -1.2044
H6PD               1    9294822    9331396    101      20  503     -0.23562    0.00034104     -0.23596
SPSB1              1    9335202    9429591    439      68  503      -0.5494    0.00034104     -0.54974
SLC25A33           1    9599528    9642831     60       8  503      -1.2177    0.00034104       -1.218
TMEM201            1    9648932    9674935     35       6  503     -0.46309    0.00034104     -0.46343
PIK3CD             1    9711789    9789172    135      27  503     -0.75964    0.00034104     -0.75998
CLSTN1             1    9789079    9884550    116      12  503     -0.39213    0.00034104     -0.39247
CTNNBIP1           1    9908334    9970316     89      12  503       1.1755    0.00034104       1.1752
LZIC               1    9982168   10003460     43       7  503      -1.1202    0.00034104      -1.1206
NMNAT1             1   10003486   10045556     76      10  503     -0.81114    0.00034104     -0.81149
RBP7               1   10057255   10076078     42       6  503     -0.16242    0.00034104     -0.16276
UBE4B              1   10093041   10241297    315      19  503      -0.3992    0.00034104     -0.39954
KIF1B              1   10270606   10441664    538      16  503      0.35383    0.00034104      0.35349
PGD                1   10458884   10480565     47       6  503     0.089252    0.00034104     0.088911
APITD1             1   10489944   10510239     57       9  503      -0.6637    0.00034104     -0.66404
APITD1-CORT        1   10490159   10512060     59       9  503     -0.82917    0.00034104     -0.82951
CORT               1   10509776   10512060      5       2  503     -0.59196    0.00034104      -0.5923
DFFA               1   10520588   10532613     18       4  503     -0.37943    0.00034104     -0.37977
PEX14              1   10535003   10690815    393      29  503      -1.2868    0.00034104      -1.2871
CASZ1              1   10696661   10856733    395      72  503      -2.3023    0.00034104      -2.3027
C1orf127           1   11006530   11042094    119      16  503      -1.2126    0.00034104      -1.2129
TARDBP             1   11072462   11085549     22       4  503       0.8249    0.00034104      0.82455
MASP2              1   11086580   11107296     51       6  503    -0.046387    0.00034104    -0.046728
SRM                1   11114649   11120091      8       3  503      0.15751    0.00034104      0.15717
EXOSC10            1   11126675   11159961     89       5  503      -1.1043    0.00034104      -1.1046
MTOR               1   11166588   11322614    310       8  503      -1.5506    0.00034104      -1.5509
ANGPTL7            1   11249346   11256038     13       2  503     -0.93657    0.00034104     -0.93691
UBIAD1             1   11333255   11348491     20       3  503      0.59443    0.00034104      0.59409
PTCHD2             1   11539295   11597640    147      15  503       1.4224    0.00034104       1.4221
FBXO2              1   11707924   11714888     17       9  503     0.095215    0.00034104     0.094874
FBXO44             1   11714432   11723384     24       7  503       1.2172    0.00034104       1.2168
FBXO6              1   11724150   11734411     33       8  503     -0.28388    0.00034104     -0.28422
MAD2L2             1   11734537   11751678     66      14  503     -0.54045    0.00034104     -0.54079
DRAXIN             1   11751781   11780336     90      16  503      0.88067    0.00034104      0.88033
AGTRAP             1   11796142   11810828     36       8  503     -0.10463    0.00034104     -0.10497
C1orf167           1   11823827   11849642    147      11  503      0.22333    0.00034104      0.22299
MTHFR              1   11845787   11866160     80      11  503      0.57109    0.00034104      0.57074
CLCN6              1   11866153   11903201    198      15  503       0.4044    0.00034104      0.40406
NPPA               1   11905766   11907840     16       4  503      -0.4019    0.00034104     -0.40224
KIAA2013           1   11979645   11986485     22       7  503      0.67495    0.00034104      0.67461
PLOD1              1   11994724   12035599    108      11  503       1.1261    0.00034104       1.1258
MFN2               1   12040238   12073572     84       9  503     -0.14817    0.00034104     -0.14851
MIIP               1   12079299   12092106     22       5  503     -0.55191    0.00034104     -0.55225
TNFRSF8            1   12123434   12204264    201      38  503         1.58    0.00034104       1.5796
TNFRSF1B           1   12227044   12269279    132      17  503      -2.0485    0.00034104      -2.0488
VPS13D             1   12290101   12572099    507      19  503      -1.8678    0.00034104      -1.8682
DHRS3              1   12627939   12677820    169      32  503       0.2428    0.00034104      0.24246
AADACL4            1   12704566   12727097     49       4  503     -0.79101    0.00034104     -0.79136
AADACL3            1   12776118   12788726     41       6  503     -0.93629    0.00034104     -0.93663
C1orf158           1   12806163   12821102     36       7  503     -0.60186    0.00034104      -0.6022
PRAMEF12           1   12834984   12838049      6       2  503      -1.0397    0.00034104        -1.04
PRAMEF1            1   12851546   12856777     15       3  503      -1.9763    0.00034104      -1.9766
PRAMEF11           1   12884468   12891264     15       3  503     -0.90985    0.00034104     -0.91019
PRAMEF2            1   12916941   12921764      9       2  503      -0.2236    0.00034104     -0.22394
LRRC38             1   13801445   13840242    151      30  503     -0.43876    0.00034104      -0.4391
PDPN               1   13910252   13944452    102      26  503      -1.0986    0.00034104       -1.099
PRDM2              1   14026714   14151574    380      29  503     0.077799    0.00034104     0.077458
KAZN               1   14219646   15444544   4621     337  503     -0.49204    0.00034104     -0.49238
TMEM51             1   15479028   15546974    356      27  503     -0.78139    0.00034104     -0.78173
C1orf195           1   15490692   15498120     30       8  503      -1.8407    0.00034104       -1.841
FHAD1              1   15573730   15724767    465      57  503     -0.59232    0.00034104     -0.59266
EFHD2              1   15736391   15756839     65      19  503      0.33891    0.00034104      0.33857
CTRC               1   15764938   15773153     27      10  503     -0.60036    0.00034104      -0.6007
CELA2A             1   15783223   15798586     63      10  503      -1.4158    0.00034104      -1.4161
CELA2B             1   15802596   15817895     42       7  503      -1.2825    0.00034104      -1.2829
CASP9              1   15817896   15851407    125       9  503      -0.7754    0.00034104     -0.77574
DNAJC16            1   15853343   15898228    115      12  503      -0.9671    0.00034104     -0.96745
AGMAT              1   15898194   15911605     56       6  503     -0.49073    0.00034104     -0.49107
DDI2               1   15943953   15995539    116       6  503      0.26847    0.00034104      0.26813
RSC1A1             1   15986364   15988217      3       2  503      0.20229    0.00034104      0.20194
PLEKHM2            1   16010632   16061264    153      14  503     -0.68525    0.00034104      -0.6856
SLC25A34           1   16062721   16067884      7       3  503     -0.52086    0.00034104      -0.5212
TMEM82             1   16068987   16074292     16       4  503      -0.5467    0.00034104     -0.54704
FBLIM1             1   16083107   16113089     68      12  503       -1.563    0.00034104      -1.5633
UQCRHL             1   16133657   16134194      4       1  503      0.65823    0.00034104      0.65789
SPEN               1   16174359   16266951    148      18  503     -0.25139    0.00034104     -0.25173
ZBTB17             1   16268364   16302627     53      12  503     -0.86909    0.00034104     -0.86943
TBC1D3P6           1   16302626   16323701     77      11  503     -0.24488    0.00034104     -0.24522
C1orf64            1   16330731   16333184     11       3  503       -1.401    0.00034104      -1.4014
HSPB7              1   16340523   16346084     45       5  503     -0.77442    0.00034104     -0.77476
CLCNKA             1   16348486   16360548     66      10  503       1.1606    0.00034104       1.1603
CLCNKB             1   16370231   16383821    118      13  503      -1.2171    0.00034104      -1.2174
FAM131C            1   16384264   16400127     75      10  503     -0.78901    0.00034104     -0.78935
EPHA2              1   16450832   16482582     54      12  503     -0.25906    0.00034104      -0.2594
ARHGEF19           1   16524599   16539104     52       5  503      0.77875    0.00034104      0.77841
ANO7P1             1   16551343   16553528      7       1  503       1.9506    0.00034104       1.9503
RSG1               1   16558182   16563659     14       6  503       1.5193    0.00034104       1.5189
FBXO42             1   16573339   16678965    213      12  503       1.5491    0.00034104       1.5488
SZRD1              1   16693525   16724643     61       8  503       1.3728    0.00034104       1.3725
SPATA21            1   16722101   16763919    119      21  503      0.73246    0.00034104      0.73212
NECAP2             1   16767167   16786585     42      10  503       1.4069    0.00034104       1.4066
CROCC              1   17248445   17299474     93      12  503     -0.50873    0.00034104     -0.50907
MFAP2              1   17300997   17308081     17       4  503       1.8199    0.00034104       1.8196
ATP13A2            1   17312453   17338467     54      11  503      0.95942    0.00034104      0.95908
SDHB               1   17345217   17380665    117      12  503       1.9463    0.00034104       1.9459
PADI2              1   17393256   17445948    257      14  503       1.0398    0.00034104       1.0394
PADI1              1   17531621   17572501    157      42  503       1.3302    0.00034104       1.3299
PADI3              1   17575593   17610728    170      25  503     -0.12474    0.00034104     -0.12508
PADI4              1   17634690   17690495    310      26  503     -0.71473    0.00034104     -0.71507
PADI6              1   17698741   17728195    164      16  503     0.068902    0.00034104     0.068561
RCC2               1   17733251   17766250     71      11  503     -0.22513    0.00034104     -0.22547
ARHGEF10L          1   17846693   18024370    412      48  503      -1.6356    0.00034104      -1.6359
ACTL8              1   18081808   18153558    209      24  503     -0.58449    0.00034104     -0.58483
IGSF21             1   18434240   18704977   1001     128  503       1.9255    0.00034104       1.9252
KLHDC7A            1   18807424   18812540     27       6  503      0.55042    0.00034104      0.55008
PAX7               1   18957500   19075360    335      55  503    -0.074861    0.00034104    -0.075202
TAS1R2             1   19166093   19186155    114      21  503       -1.243    0.00034104      -1.2434
ALDH4A1            1   19197924   19229293    150      24  503     -0.43345    0.00034104     -0.43379
IFFO2              1   19230774   19282826    200      36  503      0.10383    0.00034104      0.10349
UBR4               1   19401000   19536812    266      18  503      -1.1131    0.00034104      -1.1134
EMC1               1   19542158   19578053    109      14  503     -0.20316    0.00034104      -0.2035
MRTO4              1   19578075   19586622     52       8  503     -0.63335    0.00034104     -0.63369
AKR7A3             1   19609057   19615280     25       4  503      0.88922    0.00034104      0.88888
AKR7A2             1   19629202   19638640     28      11  503       1.1629    0.00034104       1.1625
PQLC2              1   19638740   19658925     97      14  503     -0.25357    0.00034104     -0.25391
CAPZB              1   19665267   19812066    527      24  503      -1.0469    0.00034104      -1.0473
MINOS1             1   19923471   19956315     76      14  503      0.21037    0.00034104      0.21003
MINOS1-NBL1        1   19923471   19984949    179      30  503      0.48958    0.00034104      0.48924
NBL1               1   19969723   19984949     56      16  503      0.45908    0.00034104      0.45874
HTR6               1   19991780   20006055     44       9  503      0.16136    0.00034104      0.16102
TMCO4              1   20008706   20126424    383      49  503      -1.5848    0.00034104      -1.5851
RNF186             1   20140522   20141771      5       3  503      -2.0871    0.00034104      -2.0875
OTUD3              1   20208356   20239438     79      14  503      -1.1722    0.00034104      -1.1726
PLA2G2E            1   20246800   20250110     16       5  503     0.075243    0.00034104     0.074902
PLA2G2A            1   20301924   20306932     13       5  503      -1.4256    0.00034104       -1.426
PLA2G5             1   20386157   20418394    120      20  503     -0.18651    0.00034104     -0.18685
PLA2G2D            1   20439143   20446059     22       9  503      -1.0957    0.00034104      -1.0961
PLA2G2F            1   20465823   20476879     24      11  503       1.1583    0.00034104       1.1579
PLA2G2C            1   20490484   20501687     39       9  503     -0.30488    0.00034104     -0.30522
UBXN10             1   20512578   20522540      9       3  503     -0.25504    0.00034104     -0.25538
VWA5B1             1   20617412   20681662    247      32  503      0.57892    0.00034104      0.57858
CAMK2N1            1   20808884   20812728      4       2  503     -0.42166    0.00034104     -0.42201
MUL1               1   20825941   20834674     28      10  503     0.026392    0.00034104     0.026051
FAM43B             1   20878932   20881513      4       1  503       1.0936    0.00034104       1.0933
CDA                1   20915444   20945401    120      20  503      -2.9176    0.00034104      -2.9179
PINK1              1   20959948   20978004     72      10  503      -2.1113    0.00034104      -2.1116
DDOST              1   20978260   20988037     28       6  503      -1.9532    0.00034104      -1.9536
KIF17              1   20990475   21044317    206      45  503     0.058766    0.00034104     0.058425
SH2D5              1   21046225   21059133     35       9  503        1.119    0.00034104       1.1186
HP1BP3             1   21069170   21113808     92      14  503       2.4434    0.00034104        2.443
EIF4G3             1   21132785   21503381    703      24  503       1.9746    0.00034104       1.9743
ECE1               1   21543740   21672034    351      39  503     -0.78951    0.00034104     -0.78985
NBPF3              1   21766583   21811393    153      14  503      -0.6038    0.00034104     -0.60414
ALPL               1   21835475   21904905    306      28  503     -0.92715    0.00034104     -0.92749
RAP1GAP            1   21922708   21996010    268      41  503     -0.76817    0.00034104     -0.76851
USP48              1   22004791   22109688    356      35  503       1.5763    0.00034104        1.576
LDLRAD2            1   22138758   22151714     42      17  503      -1.3041    0.00034104      -1.3044
HSPG2              1   22148737   22263750    370      36  503     -0.58476    0.00034104     -0.58511
CELA3B             1   22303418   22315847    173      20  503     -0.70477    0.00034104     -0.70511
CELA3A             1   22328149   22339035     69      12  503     -0.98575    0.00034104     -0.98609
CDC42              1   22379120   22419439    100      15  503      0.91313    0.00034104      0.91279
WNT4               1   22443798   22470474     91      17  503       2.5943    0.00034104        2.594
ZBTB40             1   22778344   22857650    133      16  503      -1.2605    0.00034104      -1.2609
EPHA8              1   22890004   22930087    156      26  503     -0.52037    0.00034104     -0.52071
C1QA               1   22963118   22966175      5       2  503      0.13377    0.00034104      0.13343
C1QC               1   22969969   22974603     23       5  503      -1.2755    0.00034104      -1.2759
C1QB               1   22979682   22988130     24       6  503     -0.88619    0.00034104     -0.88653
EPHB2              1   23037263   23241823    450      57  503     -0.19239    0.00034104     -0.19273
LACTBL1            1   23279536   23299524     50      12  503      -1.0262    0.00034104      -1.0266
C1orf234           1   23337327   23342343      9       3  503     -0.64346    0.00034104      -0.6438
KDM1A              1   23345937   23410184     68       8  503     -0.26976    0.00034104      -0.2701
LUZP1              1   23410516   23504301    171      21  503     -0.50776    0.00034104      -0.5081
HTR1D              1   23518388   23521222      5       2  503      0.53549    0.00034104      0.53515
HNRNPR             1   23635953   23671143     34       6  503      -1.0671    0.00034104      -1.0675
ZNF436             1   23685941   23696357     27       5  503      -1.6998    0.00034104      -1.7001
TCEA3              1   23707555   23751269    119      18  503      -1.5594    0.00034104      -1.5598
ASAP3              1   23755056   23810750    112      14  503      -1.0802    0.00034104      -1.0806
E2F2               1   23832920   23857712     47       7  503     -0.84869    0.00034104     -0.84903
ID3                1   23884421   23886285     10       5  503     -0.46976    0.00034104      -0.4701
RPL11              1   24018269   24022915     12       4  503       0.6535    0.00034104      0.65316
TCEB3              1   24069856   24088549     18       8  503      0.90123    0.00034104      0.90089
PITHD1             1   24104876   24114722      7       3  503      0.71093    0.00034104      0.71059
LYPLA2             1   24117275   24122029      3       1  503       1.3214    0.00034104        1.321
GALE               1   24122089   24127294      2       1  503     -0.48088    0.00034104     -0.48122
HMGCL              1   24128367   24165110     45       4  503      -1.2087    0.00034104       -1.209
FUCA1              1   24171567   24194859     41       5  503      -1.2457    0.00034104      -1.2461
CNR2               1   24197005   24285549    214      13  503      -1.2574    0.00034104      -1.2578
MYOM3              1   24382531   24438665    184      22  503      -0.4557    0.00034104     -0.45605
IL22RA1            1   24446261   24469783     69      15  503      -0.7869    0.00034104     -0.78724
IFNLR1             1   24480647   24513765    129      19  503      0.96168    0.00034104      0.96133
GRHL3              1   24645812   24690972     97      22  503     -0.24496    0.00034104      -0.2453
STPG1              1   24683489   24741587    155      17  503      0.23311    0.00034104      0.23277
NIPAL3             1   24742245   24799473    167      17  503      0.89474    0.00034104       0.8944
RCAN3              1   24828841   24863510    104      14  503       1.6368    0.00034104       1.6365
NCMAP              1   24882567   24935819    229      31  503      0.36833    0.00034104      0.36798
SRRM1              1   24969594   24999772     27       6  503       0.9155    0.00034104      0.91516
CLIC4              1   25071760   25170815     95      10  503     -0.99696    0.00034104      -0.9973
RUNX3              1   25226002   25291648    134      27  503      -1.1997    0.00034104      -1.2001
SYF2               1   25548767   25559013      3       2  503      -0.4984    0.00034104     -0.49874
RSRP1              1   25568740   25574010      5       3  503     -0.59518    0.00034104     -0.59552
RHD                1   25598884   25656936     29       3  503      -1.0235    0.00034104      -1.0238
TMEM50A            1   25664789   25688852     18       3  503     -0.91326    0.00034104      -0.9136
RHCE               1   25687853   25747363     46       3  503     -0.57852    0.00034104     -0.57886
TMEM57             1   25757388   25826700     82       2  503     -0.52197    0.00034104     -0.52231
LDLRAP1            1   25870071   25895377     33       4  503      -2.2609    0.00034104      -2.2612
MAN1C1             1   25943959   26111258    322      25  503     -0.84717    0.00034104     -0.84751
SEPN1              1   26126667   26144713     43       5  503      -1.3884    0.00034104      -1.3887
MTFR1L             1   26146397   26159433     29       2  503      -1.5821    0.00034104      -1.5824
AUNIP              1   26158414   26185939     68       3  503      -1.5349    0.00034104      -1.5353
PAQR7              1   26187975   26202461     11       3  503      -1.0117    0.00034104      -1.0121
STMN1              1   26210670   26233368     27       5  503        -1.57    0.00034104      -1.5703
PAFAH2             1   26286258   26326366     84       6  503     -0.68328    0.00034104     -0.68362
EXTL1              1   26348266   26362955     21       7  503     -0.80273    0.00034104     -0.80307
SLC30A2            1   26364513   26373439     14       3  503     -0.70775    0.00034104     -0.70809
TRIM63             1   26377792   26394142     41       6  503     -0.53546    0.00034104      -0.5358
PDIK1L             1   26437656   26452039     32       2  503     -0.39607    0.00034104     -0.39641
FAM110D            1   26485511   26489119      9       4  503       0.9292    0.00034104      0.92886
ZNF593             1   26496388   26497364      4       2  503      0.23212    0.00034104      0.23178
CNKSR1             1   26503981   26516375     27       8  503       1.7764    0.00034104       1.7761
CATSPER4           1   26517119   26529033     61       9  503     -0.11488    0.00034104     -0.11522
CEP85              1   26560644   26605529    141      13  503      0.32449    0.00034104      0.32415
SH3BGRL3           1   26606213   26608013      4       2  503     -0.32394    0.00034104     -0.32428
UBXN11             1   26608773   26644756    129      11  503     0.060213    0.00034104     0.059871
CD52               1   26644411   26647014     14       4  503     -0.43096    0.00034104      -0.4313
AIM1L              1   26648350   26680621     96      14  503     -0.10816    0.00034104      -0.1085
ZNF683             1   26688125   26701023     45       8  503      -1.1012    0.00034104      -1.1015
LIN28A             1   26737269   26756219     36      12  503      0.11399    0.00034104      0.11365
DHDDS              1   26758773   26797797     58      14  503      -0.3419    0.00034104     -0.34225
HMGN2              1   26798902   26803133      8       4  503     -0.84803    0.00034104     -0.84837
RPS6KA1            1   26856249   26901520     95      12  503       1.0151    0.00034104       1.0148
LOC101928728       1   27018623   27022896      8       3  503       2.6382    0.00034104       2.6378
ARID1A             1   27022522   27108601    116       8  503       2.3041    0.00034104       2.3038
PIGV               1   27113739   27124894     14       4  503       2.0768    0.00034104       2.0765
ZDHHC18            1   27153201   27184092     46       7  503       1.6313    0.00034104        1.631
SFN                1   27189633   27190947      1       1  503     -0.98442    0.00034104     -0.98476
GPN2               1   27205872   27216869     14       3  503       2.1206    0.00034104       2.1202
GPATCH3            1   27216979   27226962     13       5  503       1.5317    0.00034104       1.5314
NR0B2              1   27237975   27240567      5       2  503       0.7729    0.00034104      0.77256
NUDC               1   27248187   27273362     33       8  503       2.3364    0.00034104        2.336
KDF1               1   27276047   27286901     12       3  503       2.5343    0.00034104        2.534
TRNP1              1   27320189   27327377      8       4  503     -0.16983    0.00034104     -0.17017
FAM46B             1   27331511   27339333      9       2  503     -0.50315    0.00034104     -0.50349
SLC9A1             1   27425300   27481621     59       6  503       1.1904    0.00034104       1.1901
WDTC1              1   27561007   27635124    105      14  503      0.86279    0.00034104      0.86245
TMEM222            1   27648636   27662891     32       8  503      0.84589    0.00034104      0.84554
SYTL1              1   27668483   27680423     26       7  503      0.18179    0.00034104      0.18145
MAP3K6             1   27681670   27693558     25       7  503      0.29115    0.00034104      0.29081
FCN3               1   27695601   27701315      9       5  503       2.4706    0.00034104       2.4703
CD164L2            1   27705596   27709823      2       1  503      -1.6321    0.00034104      -1.6324
GPR3               1   27719148   27722318      2       1  503     -0.11543    0.00034104     -0.11578
WASF2              1   27730734   27816678    121       7  503      -1.0753    0.00034104      -1.0756
AHDC1              1   27860756   27930463     66      10  503      0.88317    0.00034104      0.88283
FGR                1   27938800   27961727     40       7  503       1.8952    0.00034104       1.8948
